Feature,Importance
"categorical__Address_sector 31 gurgaon raheja atlanis, Sector 31, Gurgaon, Delhi NCR",0.000258907287315967
"categorical__Address_Vasant Kunj, New Delhi, Sector B Vasant Kunj, New Delhi - South, Delhi NCR",0.00025746566378166794
"categorical__Address_Sector 43, Gurgaon, Delhi NCR",0.00025727358049553795
"categorical__Address_Godrej woods sector 43, Sector 43, Noida, Delhi NCR",0.00025619376694231374
"categorical__Address_DLF City Phase 1, Gurgaon., Block H, Gurgaon, Delhi NCR",0.000253456511669405
"categorical__Address_RC35 Archana Enclave Khora, Sector 57, Noida, Delhi NCR",0.00025270222394075954
"categorical__Address_Noida Extension, Noida, Delhi NCR",0.0002495698402940068
"categorical__Address_2nd, Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",0.0002494888234812886
"categorical__Address_c-1/41 a, Budh Vihar Phase 1, New Delhi - Rohini, Delhi NCR",0.00024904735836839276
"categorical__Address_24/12 1st floor extn, Punjabi Bagh, New Delhi - West, Delhi NCR",0.00024801812909204166
"categorical__Address_Gamma 1, Greater Noida, Delhi NCR",0.00024565115432190584
"categorical__Address_Patel Nagar West, New Delhi - West, Delhi NCR",0.0002434953731670944
"categorical__Address_12E, BB Block, Janakpuri, New Delhi, Janakpuri Block BB, New Delhi - West, Delhi NCR",0.00024053969312356948
"categorical__Address_E 122 Second Floor Greater Kailash 1 New Delhi, GK I, New Delhi - South, Delhi NCR",0.00024022503053303693
"categorical__Address_Sushant Lok, Gurgaon, Delhi NCR",0.00023966936863394178
"categorical__Address_Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",0.00023955662280412805
"categorical__Address_Naya Ganj, Ghaziabad, Delhi NCR",0.00023857462453623273
"categorical__Address_Sector 78, Noida, Delhi NCR",0.00023797523585294912
"categorical__Address_173 2nd Floor Sukhdev Vihar, new delhi, Sukhdev Vihar, New Delhi - South, Delhi NCR",0.00023758367116051874
"categorical__Address_E block Mansarover Garden, Mansarover Garden, New Delhi - West, Delhi NCR",0.0002369965025711199
"categorical__Address_Sector 108 Parx Laureate, Noida, Delhi NCR",0.00023531897251868848
"categorical__Address_Sector 3, Faridabad, Delhi NCR",0.00023522538366649531
"categorical__Address_Sector B Vasant Kunj, New Delhi - South, Delhi NCR",0.0002348569979400285
"categorical__Address_Sector 13 Rohini, New Delhi - Rohini, Delhi NCR",0.00023314598619830507
"categorical__Address_Sector 95, Gurgaon, Delhi NCR",0.00023306495233172994
"categorical__Address_Sector 23, Gurgaon, Delhi NCR",0.0002313153408659271
